"Now Shopping by","تسوق الآن من"
"Edit User","تعديل مستخدم"
"You have revoked the user's tokens.","قمت بإبطال الرمز المميز للمستخدم."
"We can't find a user to revoke.","لا يمكن أن نجد مستخدم للإبطال."
"You cannot delete self-assigned roles.","لا يمكنك حذف الصلاحيات المسندة ذاتيا."
"You deleted the role.","قمت بحذف الصلاحية."
"An error occurred while deleting this role.","حدث خطأ أثناء حذف هذه الصلاحية."
"Edit Role","تعديل الدور"
"New Role","صلاحية جديدة"
"This role no longer exists.","هذة الصلاحية لم تعد موجودة."
"You saved the role.","تم حفظ الصلاحية."
"An error occurred while saving this role.","حدث خطأ أثناء حفظ هذه الصلاحية."
"You saved the user.","تم حفظ المستخدم."
"A user with the same user name or email already exists.","مستخدم مع نفس اسم المستخدم أو البريد الإلكتروني موجود بالفعل."
Recommended,اوصت
Forced,إلزامي
"Sorry, but this password has already been used. Please create another.","عفواً، لكن كلمة المرور هذه مستخدمة بالفعل، اختر واحدة اخرى."
email,إيميل
password,"كلمة المرو"
username,"اسم المستخدم"
"You need more permissions to access this.","تحتاج لمزيد من الصلاحيات للوصول إلى هذا."
"User Name is a required field.","اسم المستخدم حقل مطلوب."
"First Name is a required field.","الاسم الأول حقل مطلوب."
"Last Name is a required field.","الاسم الأخير حقل مطلوب."
"Password is required field.","كلمة المرور حقل مطلوب."
"Your password must be at least %1 characters.","كلمة المرور يجب أن لا تقل عن %1 أحرف على الأقل."
"Your password must include both numeric and alphabetic characters.","يجب أن تتضمن كلمة المرور أحرف رقمية وأبجدية على حد سواء."
"Your password confirmation must match your password.","حقل تأكيد كلمة المرور يجب أن يطابق حقل كلمة المرور."
"It's time to change your password.","لقد حان الوقت لتغيير كلمة المرور الخاصة بك."
"It's time to <a href=""%1"">change your password</a>.","لقد حان الوقت <a href=\"%1\"> لتغيير كلمة المرور الخاصة بك</a>."
"Your password has expired; please contact your administrator.","انتهت مدة صلاحية كلمة المرور الخاصة بك؛ الرجاء الاتصال بالمسؤول."
"Password Help","مساعد كلمة المرور"
"Enter your email address.  You will receive an email with a link to reset your password.","أدخل عنوان البريد الإلكتروني الخاص بك.  وسوف تتلقى رسالة بريد إلكتروني مع رابط لتغيير كلمة المرور الخاصة بك."
"Email address","البريد الإلكتروني"
"Retrieve Password","استرداد كلمة المرور"
"Back to Sign in","العودة لتسجيل الدخول"
"Forgot your password?","هل نسيت كلمة المرور؟"
"Reset a Password","إعادة تعيين كلمة المرور"
"Confirm New Password","تأكيد كلمة المرور الجديدة"
"Reset Password","إعادة تعيين كلمة المرور"
"Roles Resources","مصادر الادوار"
"Warning!\r\nThis action will remove this user from already assigned role\r\nAre you sure?","تحذير! \r\n هذا العمل سيؤدي لإزالة هذا المستخدم من \r\n الصلاحيات المعينة له مسبقاً هل أنت متأكد؟"
"Warning!\r\nThis action will remove those users from already assigned roles\r\nAre you sure?","تحذير! \r\n هذا العمل سيؤدي لإزالة المستخدمين من \r\n الصلاحيات المعينة لهم مسبقاً هل أنت متأكد؟"
"Password Reset Confirmation for %name","تأكيد إعادة تعيين كلمة المرور ل %name"
"There was recently a request to change the password for your account.","تم طلب تغيير كلمة المرور مؤخراَ."
"If you requested this change, reset your password here:","إذا كنت انت من قام بطلب كلمة استرجاع كلمة المرور، فضلاً اضغط هنا:"
"If you did not make this request, you can ignore this email and your password will remain the same.","إذا لم تقم بإجراء هذا الطلب، يمكنك تجاهل هذه الرسالة وكلمة المرور سوف تبقى كما هي."
"New %changes for %user_name","جديد %changes لـ %user_name"
"Hello,",مرحبا،
"We have received a request to change the following information associated with your account at %store_name: %changes.","لقد تلقينا طلبا لتغيير المعلومات التالية المرتبطة بالحساب الخاص بك في %store_name: %changes."
"If you have not authorized this action, please contact us immediately at %store_email","إذا لم يسمح لك بهذا الإجراء، الرجاء الاتصال بنا مباشرة على %store_email"
"or call us at %store_phone","أو اتصل بنا على %store_phone"
"Thanks,","شكراً,"
"All Users","جميع المستخدمين"
"User Roles","ادوار المستخدم"
"User Notification Template","نموذج تنبيه المستخدم"
"Maximum Login Failures to Lockout Account","استنفاذ عدد مرات تسجيل الدخول الخاطئة لتأمين الحساب"
"Lockout Time (minutes)","تأمين الوقت (بالدقائق)"
"Password Lifetime (days)","عمر كلمة المرور (الأيام)"
"Password Change","تغيير كلمة المرور"
Unlock,"إلغاء القفل"
Username,"اسم المستخدم"
"Last login","آخر تسجيل دخول"
Failures,فشل
Unlocked,مفتوح
"The password for your account has been successfully changed.","تم تغيير كلمة المرور للحساب الخاص بك بنجاح."
"If you did not request this change, please contact us.","إذا كنت لم تطلب هذا التغيير، يرجى الاتصال بنا."
"Reset Password Template","قالب إعادة تعيين كلمة المرور"
Administrator,المدير
"You entered an invalid Secret Key. Please refresh the page.","قمت بإدخال ""مفتاح سر"" غيرصالح. الرجاء تحديث الصفحة."
"Cache Storage Management","إدارة التخزين المؤقت"
"Flush Magento Cache","مسح ذاكرة التخزين المؤقت لماجنتو"
"The cache storage may contain additional data. Are you sure that you want to flush it?","ذاكرة التخزين المؤقت قد تحتوي على بيانات إضافية. هل أنت متأكد من أنك تريد مسحها؟"
"Flush Cache Storage","مسح ذاكرة التخزين المؤقت "
Invalidated,"إلغاء الصلاحية"
Amounts,المبالغ
Bestsellers,"الأكثر مبيعاً"
"Most Viewed Products","المنتجات الأكثر مشاهدة"
"New Customers","عضو جديد"
"Lifetime Sales","مبيعات مدى الحياة"
"Average Order","متوسط الطلبات"
Average,متوسط
Views,مشاهدات
Revenue,الإيرادات
"Media (.avi, .flv, .swf)","الوسائط (.avi, .flv, .swf)"
"All Files","كل الملفات"
"Reset to Default","إعادة ضبط للإعدادات الإفتراضية"
"Save Account","حفظ الحساب"
"Save Cache Settings","حفظ إعدادات الذاكرة المؤقتة"
"Catalog Rewrites","Rewrites دليل المنتجات"
"Images Cache","ذاكرة التخزين المؤقت للصور"
Clear,مسح
"Search Index","فهرس البحث"
Rebuild,"إعادة بناء"
"Inventory Stock Status","حالة جرد المخزون"
"Rebuild Catalog Index","إعادة إنشاء فهرس دليل المنتجات"
"Rebuild Flat Catalog Category","إعادة إنشاء flat category لدليل المنتجات"
"Rebuild Flat Catalog Product","إعادة بناء  Flat Catalog Product"
"Cache Control","التحكم في التخزين المؤقت"
"All Cache","ذاكرة التخزين المؤقت"
"No change","لا يوجد تغيير"
